RECORDING_SESSION_LABEL,IA_ID,IA_LABEL,item,DATA_FILE,EYE_USED,IA_AREA,IA_AVERAGE_FIX_PUPIL_SIZE,IA_BOTTOM,IA_DWELL_TIME,IA_DWELL_TIME_%,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_INDEX,IA_FIRST_FIXATION_RUN_INDEX,IA_FIRST_FIXATION_TIME,IA_FIRST_FIXATION_VISITED_IA_COUNT,IA_FIRST_FIXATION_X,IA_FIRST_FIXATION_Y,IA_FIRST_FIX_PROGRESSIVE,IA_FIRST_RUN_DWELL_TIME,IA_FIRST_RUN_END_TIME,IA_FIRST_RUN_FIXATION_%,IA_FIRST_RUN_FIXATION_COUNT,IA_FIRST_RUN_START_TIME,IA_FIRST_SACCADE_AMPLITUDE,IA_FIRST_SACCADE_ANGLE,IA_FIRST_SACCADE_END_TIME,IA_FIRST_SACCADE_START_TIME,IA_FIXATION_%,IA_FIXATION_COUNT,IA_FSA_COUNT_1,IA_FSA_COUNT_2,IA_FSA_COUNT_3,IA_FSA_COUNT_4,IA_FSA_DURATION_1,IA_FSA_DURATION_2,IA_FSA_DURATION_3,IA_FSA_DURATION_4,IA_GROUP,IA_LAST_FIXATION_DURATION,IA_LAST_FIXATION_TIME,IA_LAST_FIXATION_X,IA_LAST_FIXATION_Y,IA_LAST_SACCADE_AMPLITUDE,IA_LAST_SACCADE_ANGLE,IA_LAST_SACCADE_END_TIME,IA_LAST_SACCADE_START_TIME,IA_LEFT,IA_LEGAL,IA_MAX_FIX_PUPIL_SIZE,IA_MIN_FIX_PUPIL_SIZE,IA_POINTS,IA_REGRESSION_IN,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT,IA_REGRESSION_OUT_COUNT,IA_REGRESSION_OUT_FULL,IA_REGRESSION_OUT_FULL_COUNT,IA_REGRESSION_PATH_DURATION,IA_RIGHT,IA_RUN_COUNT,IA_SECOND_FIXATION_DURATION,IA_SECOND_FIXATION_RUN,IA_SECOND_FIXATION_TIME,IA_SECOND_FIXATION_X,IA_SECOND_FIXATION_Y,IA_SECOND_RUN_DWELL_TIME,IA_SECOND_RUN_END_TIME,IA_SECOND_RUN_FIXATION_%,IA_SECOND_RUN_FIXATION_COUNT,IA_SECOND_RUN_START_TIME,IA_SELECTIVE_REGRESSION_PATH_DURATION,IA_SKIP,IA_SPILLOVER,IA_THIRD_FIXATION_DURATION,IA_THIRD_FIXATION_RUN,IA_THIRD_FIXATION_TIME,IA_THIRD_FIXATION_X,IA_THIRD_FIXATION_Y,IA_THIRD_RUN_DWELL_TIME,IA_THIRD_RUN_END_TIME,IA_THIRD_RUN_FIXATION_%,IA_THIRD_RUN_START_TIME,IA_TOP,IA_TYPE,IP_END_TIME,IP_LABEL,IP_START_TIME,TRIAL_DWELL_TIME,TRIAL_FIXATION_COUNT,TRIAL_INDEX,TRIAL_LABEL,TRIAL_START_TIME,locationList,temp,targetloc,competloc,unrel1loc,unrel2loc,RESPONSE_ACC,RESPONSE_CHOICE,DISPLAY_TIME,MOUSE_TIME,RESPONSE_RT,prac,trialtype,word,target,competitor,u1,u2,audiofile,block,targetduration,list,arraylatency,compoverlap
16acl2,3,UNREL1_IA ,3,16acl2.edf,RIGHT,50625,.,305,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,656,0,.,.,.,.,.,.,.,.,.,.,881,0,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,80,RECTANGLE,5116307,Full Trial Period,5113402,2804,3,3,Trial: 3,5113402,"[(256, 576), (256, 192), (768, 192), (768, 576)]",None,"(256, 576)","(256, 192)","(768, 192)","(768, 576)",1,TARGET,350963.1781,352327.077,481.8989175,0,Practice,wine,wine.jpg,sad.jpg,tree.jpg,chick.jpg,wineC.wav,0,513,L2,434,x
16acl2,4,UNREL2_IA ,3,16acl2.edf,RIGHT,50625,.,689,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,656,0,.,.,.,.,.,.,.,.,.,.,881,0,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,464,RECTANGLE,5116307,Full Trial Period,5113402,2804,3,3,Trial: 3,5113402,"[(256, 576), (256, 192), (768, 192), (768, 576)]",None,"(256, 576)","(256, 192)","(768, 192)","(768, 576)",1,TARGET,350963.1781,352327.077,481.8989175,0,Practice,wine,wine.jpg,sad.jpg,tree.jpg,chick.jpg,wineC.wav,0,513,L2,434,x
16acl2,1,TARGET_IA ,4,16acl2.edf,RIGHT,50625,1174.33,689,580,0.2259,272,4,2,2292,0,298.9,520.9,1,580,2902,0.5,3,2292,4.35,-151.14,2290,2256,0.5,3,2,0,0,0,308,0,0,0,.,120,2784,224,601.9,0.56,-142.94,2782,2772,144,1,1201,1133,.,0,0,0,0,0,0,580,369,1,188,1,2584,255,579.4,.,.,.,.,.,580,0,.,120,1,2784,224,601.9,.,.,.,.,464,RECTANGLE,5120453,Full Trial Period,5117548,2568,6,4,Trial: 4,5117548,"[(256, 576), (768, 192), (256, 192), (768, 576)]",None,"(256, 576)","(768, 192)","(256, 192)","(768, 576)",1,TARGET,355075.4371,356485.629,528.1919175,0,Practice,sun,sun.jpg,beer.jpg,wire.jpg,shave.jpg,sunC.wav,0,553,L2,408,x
16acl2,2,COMPET_IA ,4,16acl2.edf,RIGHT,50625,.,305,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,656,0,.,.,.,.,.,.,.,.,.,.,881,0,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,80,RECTANGLE,5120453,Full Trial Period,5117548,2568,6,4,Trial: 4,5117548,"[(256, 576), (768, 192), (256, 192), (768, 576)]",None,"(256, 576)","(768, 192)","(256, 192)","(768, 576)",1,TARGET,355075.4371,356485.629,528.1919175,0,Practice,sun,sun.jpg,beer.jpg,wire.jpg,shave.jpg,sunC.wav,0,553,L2,408,x
16acl2,3,UNREL1_IA ,4,16acl2.edf,RIGHT,50625,.,305,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,144,0,.,.,.,.,.,.,.,.,.,.,369,0,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,80,RECTANGLE,5120453,Full Trial Period,5117548,2568,6,4,Trial: 4,5117548,"[(256, 576), (768, 192), (256, 192), (768, 576)]",None,"(256, 576)","(768, 192)","(256, 192)","(768, 576)",1,TARGET,355075.4371,356485.629,528.1919175,0,Practice,sun,sun.jpg,beer.jpg,wire.jpg,shave.jpg,sunC.wav,0,553,L2,408,x
16acl2,4,UNREL2_IA ,4,16acl2.edf,RIGHT,50625,.,689,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,656,0,.,.,.,.,.,.,.,.,.,.,881,0,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,464,RECTANGLE,5120453,Full Trial Period,5117548,2568,6,4,Trial: 4,5117548,"[(256, 576), (768, 192), (256, 192), (768, 576)]",None,"(256, 576)","(768, 192)","(256, 192)","(768, 576)",1,TARGET,355075.4371,356485.629,528.1919175,0,Practice,sun,sun.jpg,beer.jpg,wire.jpg,shave.jpg,sunC.wav,0,553,L2,408,x
16acl2,1,TARGET_IA ,57,16acl2.edf,RIGHT,50625,1270.5,689,568,0.2014,280,5,5,2420,2,715.6,639.2,0,568,3002,0.3333,2,2420,8.17,-96.61,2418,2372,0.3333,2,1,0,0,0,288,0,0,0,.,288,2716,715,611.9,0.64,101.76,2714,2700,656,0,1275,1266,.,1,1,0,0,0,0,568,881,1,288,1,2716,715,611.9,.,.,.,.,.,568,1,.,.,.,.,.,.,.,.,.,.,464,RECTANGLE,5127273,Full Trial Period,5124268,2820,6,5,Trial: 5,5124268,"[(768, 576), (768, 192), (256, 576), (256, 192)]",None,"(768, 576)","(768, 192)","(256, 576)","(256, 192)",1,TARGET,361828.8921,363294.018,583.1259175,1,Filler,tire,tire.jpg,whale.jpg,goose.jpg,shed.jpg,tireC.wav,1,496,L2,446,x
16acl2,2,COMPET_IA ,57,16acl2.edf,RIGHT,50625,1176,305,168,0.0596,168,4,4,2204,1,727.2,243.6,0,168,2370,0.1667,1,2204,2.2,15.69,2202,2180,0.1667,1,1,0,0,0,280,0,0,0,.,168,2204,727.2,243.6,2.2,15.69,2202,2180,656,0,1176,1176,.,0,0,0,0,1,1,736,881,1,.,.,.,.,.,.,.,.,.,.,168,1,.,.,.,.,.,.,.,.,.,.,80,RECTANGLE,5127273,Full Trial Period,5124268,2820,6,5,Trial: 5,5124268,"[(768, 576), (768, 192), (256, 576), (256, 192)]",None,"(768, 576)","(768, 192)","(256, 576)","(256, 192)",1,TARGET,361828.8921,363294.018,583.1259175,1,Filler,tire,tire.jpg,whale.jpg,goose.jpg,shed.jpg,tireC.wav,1,496,L2,446,x
16acl2,3,UNREL1_IA ,57,16acl2.edf,RIGHT,50625,.,689,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,144,0,.,.,.,.,.,.,.,.,.,.,369,0,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,464,RECTANGLE,5127273,Full Trial Period,5124268,2820,6,5,Trial: 5,5124268,"[(768, 576), (768, 192), (256, 576), (256, 192)]",None,"(768, 576)","(768, 192)","(256, 576)","(256, 192)",1,TARGET,361828.8921,363294.018,583.1259175,1,Filler,tire,tire.jpg,whale.jpg,goose.jpg,shed.jpg,tireC.wav,1,496,L2,446,x
16acl2,4,UNREL2_IA ,57,16acl2.edf,RIGHT,50625,1162,305,172,0.061,172,2,2,1836,0,287.8,263,1,172,2006,0.1667,1,1836,5.25,139.8,1834,1792,0.1667,1,0,0,0,0,0,0,0,0,.,172,1836,287.8,263,5.25,139.8,1834,1792,144,0,1162,1162,.,0,0,0,0,0,0,908,369,1,.,.,.,.,.,.,.,.,.,.,172,0,.,.,.,.,.,.,.,.,.,.,80,RECTANGLE,5127273,Full Trial Period,5124268,2820,6,5,Trial: 5,5124268,"[(768, 576), (768, 192), (256, 576), (256, 192)]",None,"(768, 576)","(768, 192)","(256, 576)","(256, 192)",1,TARGET,361828.8921,363294.018,583.1259175,1,Filler,tire,tire.jpg,whale.jpg,goose.jpg,shed.jpg,tireC.wav,1,496,L2,446,x
